gene_id_Zm	OG	module_num	module_color	hub_score_kME	description (maizeGDB's maizemine)
Zm00001eb106160	OG0004944	6	red	0.66841208	Glucose-6-phosphate/phosphate translocator 2
Zm00001eb322950	OG0004944	6	red	0.66841208	Glucose-6-phosphate/phosphate translocator 2
Zm00001eb315650	OG0020966	6	red	0.59583941	Blue copper
Zm00001eb006020	OG0019188	6	red	0.79606023	NA
Zm00001eb028590	OG0005510	6	red	0.76349854	Flap endonuclease
Zm00001eb136750	OG0005510	6	red	0.76349854	NA
Zm00001eb247810	OG0016851	6	red	0.62976846	Knot1 domain-containing protein
Zm00001eb050150	OG0003036	6	red	0.80854262	Gibberellin-regulated protein 1
Zm00001eb050160	OG0003036	6	red	0.80854262	Gibberellin-regulated protein 1
Zm00001eb050170	OG0003036	6	red	0.80854262	Gibberellin-regulated protein 1
Zm00001eb050180	OG0003036	6	red	0.80854262	Gibberellin-regulated protein 1
Zm00001eb050200	OG0003036	6	red	0.80854262	Gibberellin-regulated protein 1
Zm00001eb051810	OG0003036	6	red	0.80854262	Gibberellin-regulated protein 1
Zm00001eb036750	OG0020109	6	red	0.8404348	AAI domain-containing protein
Zm00001eb008140	OG0008904	6	red	0.69547656	NA
Zm00001eb305810	OG0008845	6	red	0.70089826	Starch synthase
Zm00001eb193360	OG0007581	6	red	0.5621232	1-aminocyclopropane-1-carboxylate oxidase
Zm00001eb066060	OG0021234	6	red	0.73189595	NADPH-protochlorophyllide oxidoreductase
Zm00001eb080410	OG0012577	6	red	0.76068225	Gibberellin-regulated protein 14
Zm00001eb074480	OG0008350	6	red	0.45118358	Cortical cell-delineating protein
Zm00001eb279660	OG0012818	6	red	0.64290446	Aquaporin NIP2-1
Zm00001eb372380	OG0012818	6	red	0.64290446	Aquaporin NIP2-1
Zm00001eb055920	OG0019947	6	red	0.76520839	Homeotic protein knotted-1
Zm00001eb288100	OG0015937	6	red	0.61384509	Glutathione transferase GST 23
Zm00001eb228530	OG0003959	6	red	0.54705754	1
Zm00001eb350590	OG0018373	6	red	0.34303937	Bidirectional sugar transporter SWEET
Zm00001eb071110	OG0017281	6	red	0.81918038	Putative quinate O-hydroxycinnamoyltransferase
Zm00001eb061750	OG0023349	6	red	0.62622564	Putative Galactose-binding domain-containing protein
Zm00001eb084160	OG0022209	6	red	0.64837335	1
Zm00001eb057840	OG0019937	6	red	0.69540659	Alpha-1
Zm00001eb103010	OG0006368	6	red	0.60675026	protein LITTLE ZIPPER 1
Zm00001eb318750	OG0006368	6	red	0.60675026	NA
Zm00001eb087050	OG0006445	6	red	0.66049427	NA
Zm00001eb420360	OG0006445	6	red	0.66049427	NA
Zm00001eb226020	OG0021128	6	red	0.45233345	Polcalcin Jun o 2
Zm00001eb005130	OG0005486	6	red	0.75927114	AAI domain-containing protein
Zm00001eb314610	OG0016950	6	red	0.64312688	1-aminocyclopropane-1-carboxylate oxidase (Fragment)
Zm00001eb239170	OG0015587	6	red	0.57957845	Aquaporin NIP
Zm00001eb247000	OG0010384	6	red	0.56458697	Temperature-induced lipocalin
Zm00001eb005460	OG0011194	6	red	0.44311533	Sucrose transport protein SUT1
Zm00001eb402200	OG0011194	6	red	0.44311533	Sucrose transport protein SUT1
Zm00001eb074730	OG0012545	6	red	0.52269226	Ethylene-responsive transcription factor ERF034
Zm00001eb429790	OG0012545	6	red	0.52269226	Ethylene-responsive transcription factor ERF034
Zm00001eb141720	OG0004573	6	red	0.38830324	NA
Zm00001eb141770	OG0004573	6	red	0.38830324	NA
Zm00001eb141810	OG0004573	6	red	0.38830324	NA
Zm00001eb363300	OG0004573	6	red	0.38830324	NA
Zm00001eb157610	OG0021672	6	red	0.79055035	Mannan endo-1
Zm00001eb071830	OG0014044	6	red	0.65271793	Growth-regulating factor
Zm00001eb430300	OG0014044	6	red	0.65271793	Growth-regulating factor
Zm00001eb274030	OG0008523	6	red	0.69502114	ALOG domain-containing protein
Zm00001eb390210	OG0008523	6	red	0.69502114	ALOG domain-containing protein
Zm00001eb038890	OG0020123	6	red	0.76861382	Acyltransferase-like protein (Fragment)
Zm00001eb004600	OG0008498	6	red	0.65850704	NA
Zm00001eb190310	OG0008498	6	red	0.65850704	Auxin-responsive protein SAUR50
Zm00001eb377810	OG0008498	6	red	0.65850704	auxin-induced protein 15A-like
Zm00001eb285760	OG0007911	6	red	0.6438224	Ethylene-responsive transcription factor 7
Zm00001eb122190	OG0005711	6	red	0.58810397	FLZ-type domain-containing protein
Zm00001eb337180	OG0005711	6	red	0.58810397	FLZ-type domain-containing protein
Zm00001eb109920	OG0006010	6	red	0.50977609	Cold-regulated 413 inner membrane protein 2 chloroplastic
Zm00001eb296080	OG0006010	6	red	0.50977609	Cold acclimation protein COR413-TM1
Zm00001eb345990	OG0006010	6	red	0.50977609	Cold-regulated 413 inner membrane protein 2 chloroplastic
Zm00001eb381680	OG0006010	6	red	0.50977609	Cold-regulated 413 inner membrane protein 2 chloroplastic
Zm00001eb381730	OG0006010	6	red	0.50977609	Cold-regulated 413 inner membrane protein 2 chloroplastic
Zm00001eb383190	OG0006010	6	red	0.50977609	Cold-regulated 413 inner membrane protein 2 chloroplastic
Zm00001eb211650	OG0019920	6	red	0.69693819	Expansin
Zm00001eb029300	OG0009876	6	red	0.74719681	Protein rough sheath 2/ASYMMETRIC LEAVES
Zm00001eb172800	OG0003264	6	red	0.61400021	Cytochrome P450 family 87 subfamily A polypeptide 6
Zm00001eb227740	OG0003357	6	red	0.6912322	Pectinesterase inhibitor 9
Zm00001eb272550	OG0003357	6	red	0.6912322	PMEI domain-containing protein
Zm00001eb239430	OG0007051	6	red	0.61306959	Ethylene-responsive transcription factor ERF043
Zm00001eb057440	OG0019941	6	red	0.69051154	oligopeptide transporter 3-like
Zm00001eb042990	OG0009504	6	red	0.67685199	Glucose-1-phosphate adenylyltransferase
Zm00001eb176800	OG0009504	6	red	0.67685199	Glucose-1-phosphate adenylyltransferase
Zm00001eb405170	OG0009504	6	red	0.67685199	ADP-glucose pyrophosphorylase (Fragment)
Zm00001eb060390	OG0021031	6	red	0.67553885	Leucine-rich repeat transmembrane protein kinase
Zm00001eb279030	OG0011219	6	red	0.604909	NA
Zm00001eb373380	OG0011219	6	red	0.604909	NA
Zm00001eb214350	OG0010671	6	red	0.6612779	Gibberellin-regulated protein 2
Zm00001eb144500	OG0019474	6	red	0.70281187	Glycosyltransferase
Zm00001eb052890	OG0001426	6	red	0.40407881	Nicotianamine synthase
Zm00001eb218440	OG0001426	6	red	0.40407881	Nicotianamine synthase
Zm00001eb264910	OG0007896	6	red	0.45400106	Homeobox protein knotted-1-like 1
Zm00001eb354880	OG0007896	6	red	0.45400106	Homeobox protein knotted-1-like 1
Zm00001eb103260	OG0019859	6	red	0.59895742	Probable 6-phosphogluconolactonase
Zm00001eb189890	OG0009129	6	red	0.51554863	calcium sensing receptor
Zm00001eb088830	OG0008586	6	red	0.68680301	Pectate lyase
Zm00001eb420010	OG0008586	6	red	0.68680301	Pectate lyase
Zm00001eb158220	OG0006855	6	red	0.64856	Pherophorin like protein
Zm00001eb270720	OG0006855	6	red	0.64856	NA
Zm00001eb279740	OG0007102	6	red	0.61898515	Starch synthase
Zm00001eb428370	OG0008269	6	red	0.34291665	AT-hook motif nuclear-localized protein
Zm00001eb041140	OG0005423	6	red	0.49904143	Non-specific serine/threonine protein kinase
Zm00001eb179790	OG0005423	6	red	0.49904143	Non-specific serine/threonine protein kinase
Zm00001eb050930	OG0015056	6	red	0.79558653	Expressed protein (With alternative splicing)
Zm00001eb218820	OG0015056	6	red	0.79558653	VAN3-binding protein isoform X1
Zm00001eb118900	OG0007836	6	red	0.81422975	Golden 2-like 1 transcription factor
Zm00001eb324400	OG0008089	6	red	0.73624978	NA
Zm00001eb428570	OG0015652	6	red	0.6912234	Subtilisin-like protease
Zm00001eb044650	OG0007868	6	red	0.7341749	NADPH-protochlorophyllide oxidoreductase
Zm00001eb220940	OG0007868	6	red	0.7341749	NADPH-protochlorophyllide oxidoreductase
Zm00001eb010990	OG0014438	6	red	0.7355137	NA
Zm00001eb398450	OG0014438	6	red	0.7355137	NA
Zm00001eb217630	OG0015051	6	red	0.50802107	Glucan endo-1
Zm00001eb021040	OG0022292	6	red	0.52597041	Cystatin domain-containing protein
Zm00001eb184340	OG0015201	6	red	0.69156948	COLD
Zm00001eb021530	OG0021391	6	red	0.66166072	Subtilisin-like protease
Zm00001eb416900	OG0002819	6	red	0.43167878	Phytocyanin domain-containing protein
Zm00001eb299500	OG0009165	6	red	0.52887366	Amino acid permease 6
Zm00001eb384070	OG0002247	6	red	0.45536873	Heat shock transcription factor
Zm00001eb221600	OG0018318	6	red	0.30154209	Senescence regulator
Zm00001eb147530	OG0005171	6	red	0.61223156	RNA-processing protein
Zm00001eb367150	OG0005171	6	red	0.61223156	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001eb110630	OG0010605	6	red	0.47498503	Golgi apparatus membrane protein
Zm00001eb329550	OG0010605	6	red	0.47498503	R3H domain-containing protein 1 (Fragment)
Zm00001eb082500	OG0020252	6	red	0.64250788	Ultraviolet-B receptor like
Zm00001eb193790	OG0008590	6	red	0.72046225	Short vegetative phase
Zm00001eb255670	OG0008590	6	red	0.72046225	MADS-box transcription factor 22
Zm00001eb148210	OG0014812	6	red	0.53162471	Aspartic proteinase PCS1
Zm00001eb178600	OG0014812	6	red	0.53162471	Aspartic proteinase PCS1
Zm00001eb242940	OG0017947	6	red	0.57129403	PMEI domain-containing protein
Zm00001eb082130	OG0003444	6	red	0.47920879	Two-component response regulator ARR16
Zm00001eb423050	OG0003444	6	red	0.47920879	Two-component response regulator ARR16
Zm00001eb254280	OG0001754	6	red	0.5128768	Transcription factor MYC/MYB N-terminal
Zm00001eb372130	OG0001754	6	red	0.5128768	Serine/threonine-protein kinase WNK (With No Lysine)-related
Zm00001eb161050	OG0018167	6	red	0.50272124	FLZ-type domain-containing protein
Zm00001eb102200	OG0009193	6	red	0.60246229	O-fucosyltransferase family protein
Zm00001eb233980	OG0009193	6	red	0.60246229	O-fucosyltransferase family protein
Zm00001eb274820	OG0009193	6	red	0.60246229	O-fucosyltransferase family protein
Zm00001eb317210	OG0009193	6	red	0.60246229	O-fucosyltransferase family protein
Zm00001eb005100	OG0016114	6	red	0.38771431	NA
Zm00001eb403450	OG0016114	6	red	0.38771431	Sulfur deficiency-induced
Zm00001eb082170	OG0014273	6	red	0.55186214	Putative peptide/nitrate transporter
Zm00001eb106950	OG0004945	6	red	0.42443507	Cotton fiber expressed protein 1
Zm00001eb324310	OG0004945	6	red	0.42443507	Cotton fiber expressed protein 1
Zm00001eb161290	OG0001978	6	red	0.58114644	Peptidase A1 domain-containing protein
Zm00001eb020090	OG0022297	6	red	0.71950617	Probable 6-phosphogluconolactonase
Zm00001eb172520	OG0018389	6	red	0.4603235	Ring zinc finger protein-like
Zm00001eb066640	OG0010987	6	red	0.64091879	Auxin response factor
Zm00001eb433460	OG0010987	6	red	0.64091879	Auxin response factor
Zm00001eb018040	OG0009668	6	red	0.44223778	Secologanin synthase
Zm00001eb028550	OG0011269	6	red	0.56886457	PsbP domain-containing protein 1 chloroplastic
Zm00001eb101420	OG0010503	6	red	0.47336341	Dof zinc finger protein MNB1A
Zm00001eb315950	OG0010503	6	red	0.47336341	Dof-type domain-containing protein
Zm00001eb283770	OG0013476	6	red	0.56486051	FLZ-type domain-containing protein
Zm00001eb130180	OG0020749	6	red	0.73138315	Homeobox protein liguleless 3
Zm00001eb315710	OG0007126	6	red	0.53519345	Isoamylase-type starch debranching enzyme3
Zm00001eb120010	OG0006250	6	red	0.51401932	Transcription factor PCF5
Zm00001eb348580	OG0019048	6	red	0.60445223	probable serine/threonine-protein kinase At1g01540
Zm00001eb184610	OG0009090	6	red	0.62531957	Adenine phosphoribosyltransferase
Zm00001eb247050	OG0009090	6	red	0.62531957	Adenine phosphoribosyltransferase
Zm00001eb351430	OG0017577	6	red	0.34363594	NA
Zm00001eb008170	OG0014461	6	red	0.53135956	low affinity sulfate transporter 3-like
Zm00001eb025460	OG0018480	6	red	0.36995239	Methyltransferase
Zm00001eb305600	OG0010136	6	red	0.41489493	CO(2)-response secreted protease
Zm00001eb142230	OG0007656	6	red	0.66244625	flowering-promoting factor 1-like protein 3
Zm00001eb417610	OG0007521	6	red	0.50660267	Transcription factor APG
Zm00001eb374880	OG0011228	6	red	0.3723265	RING-H2 zinc finger protein-like
Zm00001eb009940	OG0021456	6	red	0.57888168	Peroxidase
Zm00001eb065630	OG0020191	6	red	0.70041095	Aspartic proteinase nepenthesin-2
Zm00001eb229500	OG0002220	6	red	0.61424595	RING-H2 finger protein ATL79
Zm00001eb328070	OG0010592	6	red	0.50836547	4-alpha-glucanotransferase
Zm00001eb164390	OG0017535	6	red	0.41850746	Rubisco activase small subunit
Zm00001eb151720	OG0016479	6	red	0.39208592	Plus3 domain-containing protein
Zm00001eb389480	OG0014596	6	red	0.51243449	F-box protein AFR
Zm00001eb389500	OG0014596	6	red	0.51243449	F-box protein AFR
Zm00001eb119200	OG0023245	6	red	0.69622672	Aquaporin TIP
Zm00001eb019460	OG0012702	6	red	0.51458627	FLZ-type domain-containing protein
Zm00001eb068620	OG0020210	6	red	0.44107118	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001eb432020	OG0020210	6	red	0.44107118	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001eb034870	OG0018831	6	red	0.59953334	DNA-damage-repair/toleration protein DRT100
Zm00001eb016160	OG0021417	6	red	0.51113292	Potassium transporter
Zm00001eb106020	OG0022062	6	red	0.3725822	Protein DETOXIFICATION
Zm00001eb344980	OG0002791	6	red	0.61172729	Pectin lyase-like superfamily protein (Fragment)
Zm00001eb358400	OG0002791	6	red	0.61172729	Pectin lyase-like superfamily protein (Fragment)
Zm00001eb432130	OG0004727	6	red	0.56084018	Filament-like plant protein 7
Zm00001eb015790	OG0016033	6	red	0.61096771	Fragile histidine triad isoform 1
Zm00001eb245320	OG0015190	6	red	0.35631215	photosystem II 5 kDa protein
Zm00001eb137780	OG0016207	6	red	0.43829653	DNA binding
Zm00001eb410830	OG0016207	6	red	0.43829653	DNA binding
Zm00001eb059920	OG0006427	6	red	0.40885133	Transcription factor PCF6
Zm00001eb213430	OG0006427	6	red	0.40885133	Transcription factor PCF6
Zm00001eb013540	OG0014426	6	red	0.43960778	Pherophorin like protein
Zm00001eb396920	OG0014426	6	red	0.43960778	Pherophorin like protein
Zm00001eb147970	OG0016445	6	red	0.4570309	BEL1-like homeodomain protein 9
Zm00001eb297430	OG0020157	6	red	0.57926883	probable inactive leucine-rich repeat receptor kinase XIAO
Zm00001eb070190	OG0009551	6	red	0.31801138	Actin cytoskeleton-regulatory complex pan-like protein
Zm00001eb431290	OG0009551	6	red	0.31801138	Myosin heavy chain-related
Zm00001eb121410	OG0011749	6	red	0.43061041	Auxin-responsive protein IAA2
Zm00001eb105640	OG0001925	6	red	0.82175849	Squamosa promoter-binding-like protein 13
Zm00001eb322280	OG0001925	6	red	0.82175849	SBP-box transcription factor
Zm00001eb120450	OG0015028	6	red	0.61677423	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Zm00001eb000690	OG0002488	6	red	0.59770858	NA
Zm00001eb404260	OG0002488	6	red	0.59770858	Rolled leaf 2
Zm00001eb296000	OG0017620	6	red	0.50672744	NA
Zm00001eb002810	OG0021166	6	red	0.3916466	Glutathione transferase
Zm00001eb382910	OG0022512	6	red	0.74865361	protein trichome birefringence-like 23
Zm00001eb297190	OG0022139	6	red	0.73234423	Harpin-induced protein
Zm00001eb149120	OG0007688	6	red	0.39152254	ALOG domain-containing protein
Zm00001eb368530	OG0007688	6	red	0.39152254	ALOG domain-containing protein
Zm00001eb424110	OG0011030	6	red	0.38622599	Glyceraldehyde-3-phosphate dehydrogenase GAPA1 chloroplastic
Zm00001eb424150	OG0011030	6	red	0.38622599	Glyceraldehyde-3-phosphate dehydrogenase GAPA1 chloroplastic
Zm00001eb424190	OG0011030	6	red	0.38622599	Glyceraldehyde-3-phosphate dehydrogenase GAPA1 chloroplastic
Zm00001eb158650	OG0010064	6	red	0.60532211	NA
Zm00001eb359280	OG0010064	6	red	0.60532211	NA
Zm00001eb404750	OG0002060	6	red	0.46159576	Clp R domain-containing protein
Zm00001eb335790	OG0016638	6	red	0.50309431	Mitochondrial glycoprotein family protein
Zm00001eb113350	OG0011092	6	red	0.42269834	Rubredoxin-like domain-containing protein
Zm00001eb249390	OG0010394	6	red	0.61796849	Protein kinase domain-containing protein
Zm00001eb177190	OG0018851	6	red	0.65851802	Subtilisin-like protease
Zm00001eb251130	OG0013572	6	red	0.35966958	Nitrate transporter 1.5
Zm00001eb010370	OG0014446	6	red	0.51431134	Actin-depolymerizing factor 5
Zm00001eb398870	OG0014446	6	red	0.51431134	Actin-depolymerizing factor 5
Zm00001eb220190	OG0019371	6	red	0.53807551	Gamma-glutamylcyclotransferase
Zm00001eb240870	OG0019371	6	red	0.53807551	Gamma-glutamylcyclotransferase
Zm00001eb077010	OG0019012	6	red	0.45736052	Putative homeodomain-like transcription factor superfamily protein
Zm00001eb232120	OG0019974	6	red	0.52035762	Auxin response factor
Zm00001eb288790	OG0012272	6	red	0.53600323	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001eb347800	OG0012272	6	red	0.53600323	Tetratricopeptide repeat (TPR)-like superfamily protein
Zm00001eb198710	OG0007049	6	red	0.60598953	B3 domain-containing protein IDEF1
Zm00001eb259870	OG0007049	6	red	0.60598953	B3 domain-containing protein IDEF1
Zm00001eb403780	OG0017303	6	red	0.48274379	NAC-A/B domain-containing protein
Zm00001eb193240	OG0007582	6	red	0.65633199	zinc finger protein 8
Zm00001eb256600	OG0007582	6	red	0.65633199	Zinc finger protein 8
Zm00001eb399890	OG0012763	1	turquoise	0.89910482	Putative leucine-rich repeat receptor-like protein kinase family protein
Zm00001eb399900	OG0012763	1	turquoise	0.89910482	Putative inactive receptor kinase
Zm00001eb040350	OG0009491	1	turquoise	0.85077102	Ferredoxin-related
Zm00001eb177310	OG0009491	1	turquoise	0.85077102	Ferredoxin-related
Zm00001eb060130	OG0002724	1	turquoise	0.84369525	fasciclin-like arabinogalactan protein 17
Zm00001eb213260	OG0002724	1	turquoise	0.84369525	Fasciclin-like arabinogalactan protein 15
Zm00001eb131590	OG0010152	1	turquoise	0.83591246	Rapid ALkalinization Factor
Zm00001eb341250	OG0010152	1	turquoise	0.83591246	Rapid alkalinization factor 1
Zm00001eb378640	OG0012849	1	turquoise	0.83035836	BAG family molecular chaperone regulator 1
Zm00001eb101760	OG0008046	1	turquoise	0.82870879	Fasciclin-like arabinogalactan protein 7
Zm00001eb316460	OG0008046	1	turquoise	0.82870879	Fasciclin-like arabinogalactan protein 7
Zm00001eb158630	OG0005192	1	turquoise	0.82616371	4Fe-4S ferredoxin-type domain-containing protein
Zm00001eb359290	OG0005192	1	turquoise	0.82616371	4Fe-4S ferredoxin-type domain-containing protein
Zm00001eb298320	OG0015285	1	turquoise	0.8158833	Dirigent protein (Fragment)
Zm00001eb354510	OG0011849	1	turquoise	0.81538465	Transcription factor MYB61
Zm00001eb417620	OG0011849	1	turquoise	0.81538465	Transcription factor MYB61
Zm00001eb083540	OG0011046	1	turquoise	0.81300207	VAMP protein SEC22
Zm00001eb422110	OG0011046	1	turquoise	0.81300207	VAMP protein SEC22
Zm00001eb062390	OG0015447	1	turquoise	0.8092594	protein trichome birefringence-like 33
Zm00001eb441830	OG0015447	1	turquoise	0.8092594	Protein trichome birefringence-like 33
Zm00001eb110400	OG0017027	1	turquoise	0.8088557	Glycoprotein membrane GPI-anchored
Zm00001eb031190	OG0009889	1	turquoise	0.80864483	Auxin-responsive protein
Zm00001eb135570	OG0009889	1	turquoise	0.80864483	Auxin-responsive protein
Zm00001eb298480	OG0018508	1	turquoise	0.80361649	Phytocyanin domain-containing protein
Zm00001eb161710	OG0014890	1	turquoise	0.80068463	Putative inactive receptor kinase
Zm00001eb357920	OG0014890	1	turquoise	0.80068463	Putative inactive receptor kinase
Zm00001eb029590	OG0016343	1	turquoise	0.79964862	NA
Zm00001eb136250	OG0016343	1	turquoise	0.79964862	NA
Zm00001eb051060	OG0010258	1	turquoise	0.79757296	Auxin-responsive protein
Zm00001eb218860	OG0010258	1	turquoise	0.79757296	Auxin-responsive protein
Zm00001eb238800	OG0015585	1	turquoise	0.79525481	Peroxidase
Zm00001eb157310	OG0010054	1	turquoise	0.79471511	FAS1 domain-containing protein
Zm00001eb345980	OG0013472	1	turquoise	0.79370039	6
Zm00001eb001560	OG0002033	1	turquoise	0.78934572	Peroxidase
Zm00001eb022050	OG0002033	1	turquoise	0.78934572	Peroxidase
Zm00001eb195170	OG0002673	1	turquoise	0.78868449	BTB/POZ domain-containing protein
Zm00001eb262710	OG0002673	1	turquoise	0.78868449	NA
Zm00001eb276280	OG0002673	1	turquoise	0.78868449	BTB domain-containing protein
Zm00001eb120980	OG0007822	1	turquoise	0.78367957	Harpin-induced protein
Zm00001eb337830	OG0007822	1	turquoise	0.78367957	Harpin-induced protein
Zm00001eb002090	OG0012405	1	turquoise	0.78066528	Fasciclin-like arabinogalactan protein 8
Zm00001eb128620	OG0007502	1	turquoise	0.77868083	Peroxidase
Zm00001eb332990	OG0007502	1	turquoise	0.77868083	Peroxidase
Zm00001eb172230	OG0009043	1	turquoise	0.77757142	Probable mixed-linked glucan synthase 6
Zm00001eb415630	OG0009043	1	turquoise	0.77757142	Probable mixed-linked glucan synthase 6
Zm00001eb076240	OG0015783	1	turquoise	0.77671049	Late embryogenesis abundant protein
Zm00001eb076260	OG0015783	1	turquoise	0.77671049	Late embryogenesis abundant protein
Zm00001eb128330	OG0002480	1	turquoise	0.77664023	Peroxidase
Zm00001eb333290	OG0002480	1	turquoise	0.77664023	Peroxidase
Zm00001eb155220	OG0011399	1	turquoise	0.77538692	NA
Zm00001eb258100	OG0011399	1	turquoise	0.77538692	Heparanase-like protein 3
Zm00001eb157410	OG0011602	1	turquoise	0.77383993	Cytochrome b561 domain-containing protein
Zm00001eb342070	OG0015642	1	turquoise	0.77359651	Peroxidase
Zm00001eb070430	OG0008348	1	turquoise	0.77287289	NA
Zm00001eb100740	OG0008348	1	turquoise	0.77287289	NA
Zm00001eb250500	OG0008348	1	turquoise	0.77287289	NA
Zm00001eb431170	OG0008348	1	turquoise	0.77287289	NA
Zm00001eb353910	OG0001588	1	turquoise	0.76652748	FAS1 domain-containing protein
Zm00001eb109980	OG0008105	1	turquoise	0.76599885	t-SNARE coiled-coil homology domain-containing protein
Zm00001eb328740	OG0008105	1	turquoise	0.76599885	novel plant SNARE 13
Zm00001eb020170	OG0014383	1	turquoise	0.76195375	X8 domain-containing protein
Zm00001eb393180	OG0014383	1	turquoise	0.76195375	X8 domain-containing protein
Zm00001eb181770	OG0007263	1	turquoise	0.76138873	Skin secretory protein xP2-like
Zm00001eb243270	OG0007263	1	turquoise	0.76138873	Pollen-specific leucine-rich repeat extensin-like protein 1 isoform X1
Zm00001eb431850	OG0017435	1	turquoise	0.75945242	Beta-xylosidase/alpha-L-arabinofuranosidase 2
Zm00001eb169420	OG0012353	1	turquoise	0.75738147	Rho GTPase-activating protein like
Zm00001eb136530	OG0016339	1	turquoise	0.75716251	Importin subunit beta-1
Zm00001eb282510	OG0015118	1	turquoise	0.75392674	GDSL esterase/lipase
Zm00001eb433340	OG0012513	1	turquoise	0.75121285	Leucine-rich repeat
Zm00001eb416400	OG0010342	1	turquoise	0.75063683	Transcription factor MYB26
Zm00001eb108730	OG0012126	1	turquoise	0.74889921	Protein PYRICULARIA ORYZAE RESISTANCE 21
Zm00001eb327160	OG0012126	1	turquoise	0.74889921	Translation initiation factor IF-2-like
Zm00001eb243040	OG0017949	1	turquoise	0.74796128	VAMP protein SEC22
Zm00001eb200430	OG0016836	1	turquoise	0.74705264	Phytocyanin domain-containing protein
Zm00001eb013180	OG0017682	1	turquoise	0.74674474	NA
Zm00001eb094610	OG0016582	1	turquoise	0.74555691	Lipid-transfer protein DIR1
Zm00001eb188910	OG0002303	1	turquoise	0.743876	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
Zm00001eb252630	OG0002303	1	turquoise	0.743876	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
Zm00001eb010740	OG0005055	1	turquoise	0.74343104	NA
Zm00001eb398540	OG0005055	1	turquoise	0.74343104	NA
Zm00001eb438800	OG0005055	1	turquoise	0.74343104	NA
Zm00001eb067350	OG0005962	1	turquoise	0.74321272	Orphans transcription factor
Zm00001eb432990	OG0005962	1	turquoise	0.74321272	Orphans transcription factor
Zm00001eb252690	OG0021881	1	turquoise	0.74090593	CMP-sialic acid transporter 4-like isoform X1
Zm00001eb000840	OG0012414	1	turquoise	0.738743	NA
Zm00001eb023070	OG0012022	1	turquoise	0.73795132	AAI domain-containing protein
Zm00001eb391610	OG0012022	1	turquoise	0.73795132	14 kDa proline-rich protein DC2.15-like
Zm00001eb077180	OG0001542	1	turquoise	0.73743667	TPT domain-containing protein
Zm00001eb247710	OG0001542	1	turquoise	0.73743667	TPT domain-containing protein
Zm00001eb426730	OG0001542	1	turquoise	0.73743667	TPT domain-containing protein
Zm00001eb128530	OG0003384	1	turquoise	0.7370898	Ubiquitin-conjugating enzyme E2 C
Zm00001eb111160	OG0005858	1	turquoise	0.73610356	HMA domain-containing protein
Zm00001eb330340	OG0005858	1	turquoise	0.73610356	Heavy metal-associated isoprenylated plant protein 36
Zm00001eb236850	OG0013944	1	turquoise	0.73599647	Plasma membrane-associated cation-binding protein 1
Zm00001eb155340	OG0003700	1	turquoise	0.73533491	Arabinogalactan peptide 3
Zm00001eb279290	OG0017784	1	turquoise	0.73431587	Phytocyanin domain-containing protein
Zm00001eb061740	OG0007274	1	turquoise	0.73377129	Phytocyanin domain-containing protein
Zm00001eb212510	OG0007274	1	turquoise	0.73377129	Phytocyanin domain-containing protein
Zm00001eb306340	OG0001583	1	turquoise	0.7335685	Beta-expansin 4
Zm00001eb306350	OG0001583	1	turquoise	0.7335685	Beta-expansin 4
Zm00001eb414340	OG0015141	1	turquoise	0.73309663	Xyloglucan endotransglucosylase/hydrolase
Zm00001eb390180	OG0019302	1	turquoise	0.7293584	Putative CRAL-TRIO lipid binding domain
Zm00001eb057320	OG0012177	1	turquoise	0.72826805	Transmembrane protein
Zm00001eb059730	OG0012177	1	turquoise	0.72826805	Transmembrane protein
Zm00001eb213660	OG0012177	1	turquoise	0.72826805	NA
Zm00001eb267050	OG0010293	1	turquoise	0.72587226	Xylem cysteine proteinase 1
Zm00001eb209740	OG0012229	1	turquoise	0.72481659	Glycosyltransferase
Zm00001eb057230	OG0004229	1	turquoise	0.72417007	Glycosyl hydrolase family 3 N terminal domain containing protein
Zm00001eb079780	OG0002094	1	turquoise	0.72326436	X8 domain-containing protein
Zm00001eb118810	OG0002094	1	turquoise	0.72326436	X8 domain-containing protein
Zm00001eb409540	OG0016211	1	turquoise	0.72280489	NA
Zm00001eb199660	OG0014088	1	turquoise	0.7223567	Fasciclin-like arabinogalactan protein 7
Zm00001eb205200	OG0001709	1	turquoise	0.72222983	Beta-galactosidase 2
Zm00001eb385210	OG0001709	1	turquoise	0.72222983	Beta-galactosidase 4
Zm00001eb061550	OG0006431	1	turquoise	0.72152606	LisH domain-containing protein C1289.10c
Zm00001eb417240	OG0018344	1	turquoise	0.72076631	Peroxidase
Zm00001eb204490	OG0006474	1	turquoise	0.71994349	Basic leucine zipper 61
Zm00001eb238570	OG0006474	1	turquoise	0.71994349	Basic leucine zipper 19
Zm00001eb056870	OG0012197	1	turquoise	0.71943706	Auxin-responsive protein IAA13
